2026-04-08 17:11:13.510 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=535ms | DESC=User login attempt | ERROR=-
2026-04-08 18:10:41.557 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=8ms | DESC=Regularization report | ERROR=org.hibernate.query.sqm.UnknownPathException: Could not resolve attribute 'attendanceDate' of 'com.gm.hrms.entity.AttendanceRegularization' [SELECT r FROM AttendanceRegularization r JOIN FETCH r.attendance a JOIN FETCH r.requestedBy p WHERE (:status IS NULL OR r.status = :status) AND (:fromDate IS NULL OR a.attendanceDate >= :fromDate) AND (:toDate IS NULL OR a.attendanceDate <= :toDate) AND (:personalId IS NULL OR p.id = :personalId) ORDER BY a.attendanceDate DESC, r.attendanceDate desc]
2026-04-08 18:10:47.145 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=51ms | DESC=Shift-wise attendance report | ERROR=-
2026-04-08 18:10:54.801 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Regularization | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=4ms | DESC=Submit attendance regularization request | ERROR=Attendance not found
2026-04-08 18:13:01.313 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=0ms | DESC=Employee-wise attendance detail | ERROR=JDBC exception executing SQL [ERROR: could not determine data type of parameter $2] [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,a1_0.status,a1_0.updated_at,a1_0.updated_by,a1_0.work_profile_id from attendance a1_0 left join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where a1_0.personal_information_id=? and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) order by a1_0.attendance_date desc,a1_0.attendance_date desc fetch first ? rows only]; SQL [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,a1_0.status,a1_0.updated_at,a1_0.updated_by,a1_0.work_profile_id from attendance a1_0 left join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where a1_0.personal_information_id=? and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) order by a1_0.attendance_date desc,a1_0.attendance_date desc fetch first ? rows only]
2026-04-08 18:14:21.515 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=4ms | DESC=Late coming report | ERROR=JDBC exception executing SQL [ERROR: could not determine data type of parameter $1] [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,pi1_0.id,pi1_0.active,pi1_0.created_at,pi1_0.created_by,pi1_0.current_address_id,pi1_0.date_of_birth,pi1_0.employment_type,pi1_0.first_name,pi1_0.gender,pi1_0.last_name,pi1_0.marital_status,pi1_0.middle_name,pi1_0.permanent_address_id,pi1_0.profile_image_url,pi1_0.record_status,pi1_0.spouse_or_parent_name,pi1_0.updated_at,pi1_0.updated_by,a1_0.status,a1_0.updated_at,a1_0.updated_by,wp1_0.id,wp1_0.branch_id,wp1_0.created_at,wp1_0.created_by,wp1_0.date_of_joining,d1_0.id,d1_0.code,d1_0.created_at,d1_0.created_by,d1_0.description,d1_0.name,d1_0.status,d1_0.updated_at,d1_0.updated_by,d2_0.id,d2_0.active,d2_0.created_at,d2_0.created_by,d2_0.description,d2_0.name,d2_0.updated_at,d2_0.updated_by,wp1_0.personal_information_id,wp1_0.reporting_manager_profile_id,s1_0.id,s1_0.auto_checkout,s1_0.created_at,s1_0.created_by,s1_0.grace_minutes,s1_0.is_active,s1_0.late_mark_after_minutes,s1_0.late_mark_limit,s1_0.minimum_work_hours,s1_0.overtime_after_minutes,s1_0.overtime_allowed,s1_0.shift_name,s1_0.shift_type,s1_0.updated_at,s1_0.updated_by,wp1_0.status,wp1_0.updated_at,wp1_0.updated_by,wp1_0.work_mode,wp1_0.working_type from attendance a1_0 join personal_information pi1_0 on pi1_0.id=a1_0.personal_information_id left join work_profiles wp1_0 on wp1_0.id=a1_0.work_profile_id left join departments d1_0 on d1_0.id=wp1_0.department_id left join designations d2_0 on d2_0.id=wp1_0.designation_id left join shifts s1_0 on s1_0.id=wp1_0.shift_id join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where c1_0.late_minutes>0 and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) and (? is null or pi1_0.id=?) and (? is null or d1_0.id=?) and (? is null or d2_0.id=?) order by a1_0.attendance_date desc fetch first ? rows only]; SQL [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,pi1_0.id,pi1_0.active,pi1_0.created_at,pi1_0.created_by,pi1_0.current_address_id,pi1_0.date_of_birth,pi1_0.employment_type,pi1_0.first_name,pi1_0.gender,pi1_0.last_name,pi1_0.marital_status,pi1_0.middle_name,pi1_0.permanent_address_id,pi1_0.profile_image_url,pi1_0.record_status,pi1_0.spouse_or_parent_name,pi1_0.updated_at,pi1_0.updated_by,a1_0.status,a1_0.updated_at,a1_0.updated_by,wp1_0.id,wp1_0.branch_id,wp1_0.created_at,wp1_0.created_by,wp1_0.date_of_joining,d1_0.id,d1_0.code,d1_0.created_at,d1_0.created_by,d1_0.description,d1_0.name,d1_0.status,d1_0.updated_at,d1_0.updated_by,d2_0.id,d2_0.active,d2_0.created_at,d2_0.created_by,d2_0.description,d2_0.name,d2_0.updated_at,d2_0.updated_by,wp1_0.personal_information_id,wp1_0.reporting_manager_profile_id,s1_0.id,s1_0.auto_checkout,s1_0.created_at,s1_0.created_by,s1_0.grace_minutes,s1_0.is_active,s1_0.late_mark_after_minutes,s1_0.late_mark_limit,s1_0.minimum_work_hours,s1_0.overtime_after_minutes,s1_0.overtime_allowed,s1_0.shift_name,s1_0.shift_type,s1_0.updated_at,s1_0.updated_by,wp1_0.status,wp1_0.updated_at,wp1_0.updated_by,wp1_0.work_mode,wp1_0.working_type from attendance a1_0 join personal_information pi1_0 on pi1_0.id=a1_0.personal_information_id left join work_profiles wp1_0 on wp1_0.id=a1_0.work_profile_id left join departments d1_0 on d1_0.id=wp1_0.department_id left join designations d2_0 on d2_0.id=wp1_0.designation_id left join shifts s1_0 on s1_0.id=wp1_0.shift_id join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where c1_0.late_minutes>0 and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) and (? is null or pi1_0.id=?) and (? is null or d1_0.id=?) and (? is null or d2_0.id=?) order by a1_0.attendance_date desc fetch first ? rows only]
2026-04-08 18:14:40.598 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=9ms | DESC=Overtime report | ERROR=JDBC exception executing SQL [ERROR: could not determine data type of parameter $1] [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,pi1_0.id,pi1_0.active,pi1_0.created_at,pi1_0.created_by,pi1_0.current_address_id,pi1_0.date_of_birth,pi1_0.employment_type,pi1_0.first_name,pi1_0.gender,pi1_0.last_name,pi1_0.marital_status,pi1_0.middle_name,pi1_0.permanent_address_id,pi1_0.profile_image_url,pi1_0.record_status,pi1_0.spouse_or_parent_name,pi1_0.updated_at,pi1_0.updated_by,a1_0.status,a1_0.updated_at,a1_0.updated_by,wp1_0.id,wp1_0.branch_id,wp1_0.created_at,wp1_0.created_by,wp1_0.date_of_joining,d1_0.id,d1_0.code,d1_0.created_at,d1_0.created_by,d1_0.description,d1_0.name,d1_0.status,d1_0.updated_at,d1_0.updated_by,d2_0.id,d2_0.active,d2_0.created_at,d2_0.created_by,d2_0.description,d2_0.name,d2_0.updated_at,d2_0.updated_by,wp1_0.personal_information_id,wp1_0.reporting_manager_profile_id,wp1_0.shift_id,wp1_0.status,wp1_0.updated_at,wp1_0.updated_by,wp1_0.work_mode,wp1_0.working_type from attendance a1_0 join personal_information pi1_0 on pi1_0.id=a1_0.personal_information_id left join work_profiles wp1_0 on wp1_0.id=a1_0.work_profile_id left join departments d1_0 on d1_0.id=wp1_0.department_id left join designations d2_0 on d2_0.id=wp1_0.designation_id join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where c1_0.overtime_minutes>0 and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) and (? is null or pi1_0.id=?) and (? is null or d1_0.id=?) and (? is null or d2_0.id=?) order by a1_0.attendance_date desc fetch first ? rows only]; SQL [select a1_0.id,a1_0.attendance_date,c1_0.id,c1_0.break_minutes,c1_0.created_at,c1_0.created_by,c1_0.late_minutes,c1_0.overtime_minutes,c1_0.updated_at,c1_0.updated_by,c1_0.work_minutes,a1_0.check_in,a1_0.check_out,a1_0.created_at,a1_0.created_by,a1_0.personal_information_id,pi1_0.id,pi1_0.active,pi1_0.created_at,pi1_0.created_by,pi1_0.current_address_id,pi1_0.date_of_birth,pi1_0.employment_type,pi1_0.first_name,pi1_0.gender,pi1_0.last_name,pi1_0.marital_status,pi1_0.middle_name,pi1_0.permanent_address_id,pi1_0.profile_image_url,pi1_0.record_status,pi1_0.spouse_or_parent_name,pi1_0.updated_at,pi1_0.updated_by,a1_0.status,a1_0.updated_at,a1_0.updated_by,wp1_0.id,wp1_0.branch_id,wp1_0.created_at,wp1_0.created_by,wp1_0.date_of_joining,d1_0.id,d1_0.code,d1_0.created_at,d1_0.created_by,d1_0.description,d1_0.name,d1_0.status,d1_0.updated_at,d1_0.updated_by,d2_0.id,d2_0.active,d2_0.created_at,d2_0.created_by,d2_0.description,d2_0.name,d2_0.updated_at,d2_0.updated_by,wp1_0.personal_information_id,wp1_0.reporting_manager_profile_id,wp1_0.shift_id,wp1_0.status,wp1_0.updated_at,wp1_0.updated_by,wp1_0.work_mode,wp1_0.working_type from attendance a1_0 join personal_information pi1_0 on pi1_0.id=a1_0.personal_information_id left join work_profiles wp1_0 on wp1_0.id=a1_0.work_profile_id left join departments d1_0 on d1_0.id=wp1_0.department_id left join designations d2_0 on d2_0.id=wp1_0.designation_id join attendance_calculation c1_0 on a1_0.id=c1_0.attendance_id where c1_0.overtime_minutes>0 and (? is null or a1_0.attendance_date>=?) and (? is null or a1_0.attendance_date<=?) and (? is null or pi1_0.id=?) and (? is null or d1_0.id=?) and (? is null or d2_0.id=?) order by a1_0.attendance_date desc fetch first ? rows only]
2026-04-08 18:14:55.467 [AUDIT] ACTION=VIEW_REPORT | RESOURCE=AttendanceReport | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=4ms | DESC=Regularization report | ERROR=org.hibernate.query.sqm.UnknownPathException: Could not resolve attribute 'attendanceDate' of 'com.gm.hrms.entity.AttendanceRegularization' [SELECT r FROM AttendanceRegularization r JOIN FETCH r.attendance a JOIN FETCH r.requestedBy p WHERE (:status IS NULL OR r.status = :status) AND (:fromDate IS NULL OR a.attendanceDate >= :fromDate) AND (:toDate IS NULL OR a.attendanceDate <= :toDate) AND (:personalId IS NULL OR p.id = :personalId) ORDER BY a.attendanceDate DESC, r.attendanceDate desc]
2026-04-08 18:15:11.657 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Regularization | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=2ms | DESC=Submit attendance regularization request | ERROR=Attendance not found
2026-04-08 18:15:30.390 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Regularization | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=6ms | DESC=Review attendance regularization request | ERROR=Regularization not found
2026-04-08 18:15:44.193 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Regularization | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=2ms | DESC=Review attendance regularization request | ERROR=Regularization not found
2026-04-08 18:16:05.066 [AUDIT] ACTION=CORRECT_ATTENDANCE | RESOURCE=Regularization | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=3ms | DESC=Review attendance regularization request | ERROR=Regularization not found
2026-04-08 18:18:28.861 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=152ms | DESC=User login attempt | ERROR=-
