2026-04-07 11:30:04.711 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=496ms | DESC=User login attempt | ERROR=-
2026-04-07 12:22:30.625 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1153ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:26:31.609 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1077ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:30:22.800 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=704ms | DESC=User login attempt | ERROR=-
2026-04-07 12:30:38.340 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=634ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:31:09.722 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1176ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:40:00.625 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1169ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:44:47.470 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1216ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:46:01.538 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=317ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:49:53.983 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1388ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 12:55:06.300 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1248ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 14:54:57.013 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1176ms | DESC=User login attempt | ERROR=-
2026-04-07 14:55:11.814 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=4122ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:04:56.297 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1233ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:06:57.015 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=4208ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:07:49.463 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=2118ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:15:43.138 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1267ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:26:03.432 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1297ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:35:56.126 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1146ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:38:59.721 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1618ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:39:36.373 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1152ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:40:16.218 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1098ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:41:05.493 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1255ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:41:59.564 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1275ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:53:56.130 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1227ms | DESC=Download salary slip PDF | ERROR=-
2026-04-07 15:56:18.867 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=457ms | DESC=User login attempt | ERROR=-
2026-04-07 15:56:32.911 [AUDIT] ACTION=DOWNLOAD_SALARY_SLIP | RESOURCE=SalarySlip | USER=admin@gm.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1982ms | DESC=Download salary slip PDF | ERROR=-
